file,speaker,theme_id,transaction_type,move_number,move_type,index,theme_index,duration,text
q1ec1,g,1,normal,1,ready,1,1,0.3294,okay
q1ec1,g,1,normal,2,instruct,2,2,3.1785,starting off we are above a caravan park
q1ec1,f,1,normal,1,acknowledge,3,3,0.34589999999999943,mmhmm
q1ec1,g,1,normal,3,instruct,4,4,9.761199999999995,we are going to go due south straight south and then we're going to g-- turn straight back round and head north past an old mill on the right hand side
q1ec1,f,1,normal,2,check,5,5,1.5487000000000002,due south and then back up again
q1ec1,g,1,normal,4,reply_y,6,6,0.2569000000000017,yeah
q1ec1,g,1,normal,5,clarify,7,7,5.098300000000002,south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill
q1ec1,f,1,normal,3,acknowledge,8,8,0.6820999999999984,right okay
q1ec1,g,2,normal,6,align,9,1,0.44130000000000535,okay
q1ec1,g,2,normal,7,instruct,10,2,2.4147999999999996,and then we're going to turn east
q1ec1,f,2,normal,4,acknowledge,11,3,0.3883999999999972,mmhmm
q1ec1,g,2,normal,8,instruct,12,4,2.685299999999998,not straight east slightly sort of northeast
q1ec1,f,2,normal,5,check,13,5,1.2195000000000107,s-- slightly northeast
q1ec1,g,2,normal,9,reply_y,14,6,1.1988999999999947,slightly slightly yeah
q1ec1,g,2,normal,10,clarify,15,7,0.7114000000000047,very slightly
q1ec1,g,2,normal,11,instruct,16,8,7.746399999999994,and we're going to continue straight along erm quite a wee dis-- a wee distance erm quite a wee distance right we're going to continue along on that course
q1ec1,g,3,normal,12,instruct,17,1,1.8600999999999885,and then we're going to turn north again
q1ec1,f,3,normal,6,acknowledge,18,2,0.4405999999999892,mmhmm
q1ec1,g,3,normal,13,explain,19,3,4.189700000000002,and immediat-- well a distance below that turning point there's a fenced meadow
q1ec1,g,3,normal,14,instruct,20,4,2.0161999999999978,but you should be avoiding that by quite a distance
q1ec1,f,3,normal,7,acknowledge,21,5,0.4504000000000019,okay
q1ec1,g,3,normal,15,align,22,6,1.9498000000000104,okay so we've turned and we're going up north again
q1ec1,f,3,normal,8,reply_y,23,7,0.368700000000004,mmhmm
q1ec1,g,3,normal,16,instruct,24,8,1.4710000000000036,continue straight up north
q1ec1,f,3,normal,9,acknowledge,25,9,0.38160000000000593,mmhmm
q1ec1,g,4,normal,17,instruct,26,1,4.271799999999999,and then we're going to turn to the west on a curvature right sort of
q1ec1,f,4,normal,10,acknowledge,27,2,0.3529000000000053,okay
q1ec1,g,4,normal,18,explain,28,3,5.006499999999988,"""s"" bend and immediately below that bend there is an abandoned cottage"
q1ec1,f,4,normal,11,acknowledge,29,4,0.33450000000000557,mmhmm
q1ec1,f,4,normal,12,acknowledge,30,5,0.4895000000000067,okay
q1ec1,g,4,normal,19,instruct,31,6,1.7918999999999983,and we're passing above the top of that
q1ec1,g,5,normal,20,instruct,32,1,4.202499999999986,"we're going to continue in that sort of ""s"" shape a big wide ""s"""
q1ec1,f,5,normal,13,acknowledge,33,2,0.3392999999999944,mmhmm
q1ec1,g,5,normal,21,explain,34,3,5.685599999999994,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow
q1ec1,g,5,normal,22,instruct,35,4,1.1988999999999947,but you're passing on the top of that
q1ec1,g,5,normal,23,align,36,5,0.3558000000000021,okay
q1ec1,f,5,normal,14,reply_y,37,6,0.26139999999999475,okay
q1ec1,g,6,review,24,ready,38,1,0.4939999999999998,right okay
q1ec1,g,6,review,25,align,39,2,3.1980000000000075,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah"
q1ec1,f,6,review,15,reply_y,40,3,0.4346999999999923,right
q1ec1,g,7,normal,26,acknowledge,41,1,0.29239999999998645,right
q1ec1,g,7,normal,27,instruct,42,2,2.3714999999999975,"and then at the top of the ""s"" we're turning north"
q1ec1,f,7,normal,16,acknowledge,43,3,0.44710000000000605,mmhmm
q1ec1,g,7,normal,28,align,44,4,0.38870000000000005,okay
q1ec1,g,7,normal,29,instruct,45,5,1.7257999999999925,we're going straight due north
q1ec1,g,8,normal,30,explain,46,1,1.758199999999988,at the top there there's a west lake
q1ec1,f,8,normal,17,acknowledge,47,2,0.4779999999999802,okay
q1ec1,g,8,normal,31,instruct,48,3,4.044500000000028,which we're going to pass on the south erm southeast side
q1ec1,f,8,normal,18,acknowledge,49,4,0.3427000000000078,mmhmm
q1ec1,g,8,normal,32,instruct,50,5,2.595300000000009,"and we're going to do that in a curve almost a half ""u"" shape"
q1ec1,f,8,normal,19,check,51,6,1.8147000000000446,"half ""u"" shape to the southeast"
q1ec1,g,8,normal,33,reply_y,52,7,0.2429000000000201,yeah
q1ec1,g,8,normal,34,reply_y,53,8,1.054000000000002,yeah the southeast
q1ec1,f,8,normal,20,acknowledge,54,9,0.5678999999999803,right okay
q1ec1,g,8,normal,35,instruct,55,10,1.7778999999999883,and continue up north slightly
q1ec1,f,8,normal,21,acknowledge,56,11,0.372099999999989,mmhmm
q1ec1,g,8,normal,36,instruct,57,12,2.020700000000005,but not quite to the tip of that lake
q1ec1,f,8,normal,22,acknowledge,58,13,0.33279999999999177,mmhmm
q1ec1,g,9,normal,37,instruct,59,1,9.195499999999981,and then we're going to turn down ove-- above a trig point and we're going to turn immediately to your right and straight down at an angle of forty-five
q1ec1,f,9,normal,23,acknowledge,60,2,0.6799000000000035,right
q1ec1,g,9,normal,38,align,61,3,0.39799999999999613,okay
q1ec1,g,9,normal,39,instruct,62,4,10.60050000000004,and we're going to continue that wee distance down and that the point at the end of that it should be near to the abandoned cottage where we went past miles away but if not just carry on and then continue down in that forty-five degree
q1ec1,f,9,normal,24,acknowledge,63,5,0.39819999999997435,mmhmm
q1ec1,g,10,normal,40,instruct,64,1,3.142900000000026,and turn round by a monument on the outside of the monument
q1ec1,f,10,normal,25,check,65,2,1.1761999999999944,outside of the monument
q1ec1,g,10,normal,41,reply_y,66,3,0.3462000000000103,yeah
q1ec1,g,11,normal,42,instruct,67,1,3.7546999999999855,and then a very slight turning up again north sort of northwest
q1ec1,f,11,normal,26,acknowledge,68,2,0.3475999999999999,mmhmm
q1ec1,g,11,normal,43,instruct,69,3,6.337500000000034,"very slight curve sort of very slight ""s""-shaped just a slight curve and then going to proceed up north again"
